,in_apple_playlists,in_apple_charts,Artista,id_artista
852,13,18,Duki,590
853,4,106,Sidhu Moose Wala,591
854,16,5,Keisya Levronka,592
855,5,36,Victor Cibrian,593
856,112,198,Metallica,594
857,37,2,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",595
858,45,2,Yung Gravy,596
859,26,18,Lasso,597
860,19,21,Nayeon,598
861,6,52,j-hope,600
862,156,275,Burna Boy,601
863,27,18,Burna Boy,601
864,11,0,"Kanye West, Lil Durk, Cardi B",602
865,28,0,"L7nnon, DJ Biel do Furduncinho, Bianca",603
866,49,3,"Anitta, Tini, Becky G",604
867,25,0,Nessa Barrett,605
868,129,55,LF System,606
869,17,0,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",607
870,16,15,Rels B,608
871,53,2,"Snoop Dogg, BTS, Benny Blanco",609
872,51,1,"Drake, DJ Khaled, Lil Baby",610
873,17,12,Luar La L,611
874,38,266,Ghost,612
875,17,10,Rex Orange County,613
876,28,67,Sofia Carson,614
877,10,43,"Grupo Marca Registrada, Junior H",615
878,54,6,"Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",616
879,15,79,"Peso Pluma, Luis R Conriquez",617
880,15,33,"Luis R Conriquez, La Adictiva",618
881,81,4,"David Guetta, Shakira, Black Eyed Peas",619
882,22,2,"Melody, Ana Castela, Dj Chris No Beat",620
883,165,10,"Elton John, Britney Spears",621
884,102,53,"Interplanetary Criminal, Eliza Rose",622
885,49,1,Armani White,623
886,117,72,Oxlade,624
887,15,0,PnB Rock,625
888,18,10,"Ovy On The Drums, Quevedo",626
889,38,0,Lil Yachty,627
890,16,0,"Marshmello, Juice WRLD",628
891,14,1,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",629
892,77,10,Southstar,630
893,31,21,girl in red,631
894,0,0,"Rosa Walton, Hallie Coggins",632
895,0,0,"MC Ryan SP, Love Funk, Mc Paiva ZS",634
896,24,8,"Drake, Travis Scott, 21 Savage",635
897,8,1,"Ludwig Goransson, Foudeqush",636
898,10,100,Jin,637
899,61,13,Selena Gomez,638
900,2,0,"Feid, Paulo Londra",639
901,29,26,"Feid, Sech, Jhayco",640
