,in_apple_playlists,in_apple_charts,Artista,id_artista
347,3,0,Rosa Linn,139
348,60,20,One Direction,140
349,11,84,"Oscar Maydon, Junior H",141
350,146,72,Radiohead,142
351,38,25,James Arthur,143
352,231,37,James Arthur,143
353,61,96,Cigarettes After Sex,144
354,7,10,Shubh,145
355,112,68,Frank Ocean,146
356,124,27,Frank Ocean,146
357,187,99,Hozier,147
358,27,129,"Fuerza Regida, Grupo Frontera",148
359,1,50,Hotel Ugly,149
360,2,4,Hotel Ugly,149
361,71,37,Creedence Clearwater Revival,150
362,4,3,Plan B,151
363,20,46,"Feid, Mora, Saiko, Quevedo",152
364,34,0,a-ha,153
365,13,46,"Swae Lee, Lil Wayne, Offset, Metro Boomin",154
366,22,18,"Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",155
367,37,50,Shakira,156
368,12,117,"Natanael Cano, Gabito Ballesteros, Peso Pluma",157
369,6,71,"Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",158
370,9,101,Stray Kids,159
371,6,188,Stray Kids,159
372,15,92,"Becky G, Peso Pluma",160
373,18,41,"Metro Boomin, Coi Leray",161
374,44,34,"Kaliii, Kaliii",162
375,10,79,"Abhijay Sharma, Riar Saab",164
376,20,110,JISOO,166
377,5,17,"Future, Lil Uzi Vert, Metro Boomin",167
378,116,84,"RAYE, 070 Shake",168
379,12,1,"RAYE, 070 Shake",168
380,47,77,"Arcangel, Bad Bunny",169
381,23,21,"Taylor Swift, Ice Spice",170
382,41,69,"Future, Chris Brown, Metro Boomin",171
383,8,78,"BLESSD, Peso Pluma",172
384,10,72,"Fuerza Regida, Natanael Cano",173
385,1,0,"Lana Del Rey, Taylor Swift",174
386,118,48,Coi Leray,175
387,8,96,ENHYPEN,176
388,2,12,ENHYPEN,176
389,10,56,ENHYPEN,176
390,23,82,"Lil Durk, Morgan Wallen",177
391,1,20,"James Blake, Metro Boomin",178
392,7,29,"Israel & Rodolffo, Mari Fernandez",179
393,155,72,Steve Lacy,180
394,71,53,Steve Lacy,180
395,21,15,Steve Lacy,180
396,6,14,"Halsey, Suga",182
397,39,14,"Nicky Jam, Feid",183
398,29,26,"Sean Paul, Feid",184
399,58,70,Drake,185
400,66,89,Drake,185
401,38,105,Drake,185
402,8,5,Drake,185
403,3,10,"WizKid, Toian, Metro Boomin, Don Toliver, Beam",187
404,8,57,Simone Mendes,188
405,51,29,Tini,189
406,72,27,Lil Uzi Vert,190
407,119,66,Sia,191
408,85,110,Sia,191
409,69,100,Stephen Sanchez,192
410,7,2,"MC Caverinha, KayBlack",193
411,3,3,"Offset, JID",194
412,41,22,"Migrantes, LiL CaKe, Nico Valdi",196
413,3,79,Tory Lanez,197
414,109,42,Joji,198
415,38,45,Joji,198
416,38,79,Joji,198
417,9,13,"Mambo Kingz, DJ Luian, Anuel Aa",199
418,10,41,"Mambo Kingz, DJ Luian, Anuel Aa",199
419,14,110,"Nile Rodgers, LE SSERAFIM",200
420,6,84,Agust D,201
421,46,5,Labrinth,203
422,24,85,Labrinth,203
423,45,1,Labrinth,203
424,47,116,Labrinth,203
425,8,67,Labrinth,203
426,21,86,Labrinth,203
427,26,1,Labrinth,203
428,45,80,"Karol G, Romeo Santos",204
429,67,55,Lizzy McAlpine,205
430,16,102,IVE,206
431,17,89,IVE,206
432,28,124,IVE,206
433,20,129,IVE,206
434,0,0,sped up 8282,207
435,8,14,"Cartel De Santa, La Kelly",208
436,16,103,SEVENTEEN,209
437,21,4,NLE Choppa,210
438,36,65,"The Weeknd, Future",211
439,0,0,"Nicki Minaj, Ice Spice",212
440,4,64,"Grupo Marca Registrada, Grupo Frontera",213
441,8,84,"Fuerza Regida, Peso Pluma",214
442,16,90,"TAEYANG, Lisa",215
443,5,6,Raim Laode,216
444,142,23,Meghan Trainor,218
445,0,0,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",219
446,17,80,Grupo Frontera,220
447,3,1,TV Girl,221
448,18,78,INTERWORLD,222
449,17,13,"Quevedo, Jhayco",223
450,3,31,"El Chachito, Junior H",224
451,30,70,"The Weeknd, Gesaffelstein",225
452,110,145,"The Weeknd, Gesaffelstein",225
453,5,9,"RM, Colde",226
454,53,120,BLACKPINK,227
455,57,119,BLACKPINK,227
456,2,129,BLACKPINK,227
457,21,55,"Nengo Flow, Bad Bunny",228
458,156,35,"Nicky Youre, Dazy",229
459,18,51,"Eminem, Dina Rae",230
460,4,45,"IU, Agust D",231
461,11,3,"Arcangel, Bizarrap",232
462,23,0,"Tyler, The Creator",233
463,8,1,"Tyler, The Creator",233
464,13,7,"Tyler, The Creator",233
465,22,7,NF,235
466,4,11,Yng Lvcas,236
467,16,15,"Kanii, PR1ISVX",237
468,67,84,Zach Bryan,239
469,29,9,Melanie Martinez,240
470,5,48,"Fuerza Regida, Chino Pacas",241
471,81,27,Mae Stephens,242
472,28,57,"Feid, Mora",243
473,23,2,Kenia OS,244
474,20,68,Kordhell,245
475,21,0,"Coolio, L.V.",246
476,52,66,"Karol G, Ovy On The Drums",247
477,44,19,The Walters,248
478,27,27,Mac DeMarco,249
479,0,0,Jack Black,250
480,20,8,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",251
481,72,64,"Brray, Rauw Alejandro, Lyanno",252
482,39,0,Linkin Park,253
483,63,0,Linkin Park,253
484,32,18,"Gorillaz, Bad Bunny",254
485,22,82,"j-hope, J. Cole",255
486,108,16,"Robin Schulz, Oliver Tree",256
487,29,3,"Don Toliver, Future, Justin Bieber",257
488,61,6,Niall Horan,258
489,49,23,Central Cee,259
490,57,44,Central Cee,259
491,4,6,Mahalini,260
492,11,101,"Arijit Singh, Sachin-Jigar",261
493,32,3,ThxSoMch,262
494,1,0,ThxSoMch,262
495,30,15,"Myke Towers, Quevedo",263
496,14,35,"Morgan Wallen, Eric Church",264
497,45,11,Nicki Minaj,265
498,104,17,Nicki Minaj,265
499,1,10,Kaifi Khalil,266
500,11,15,"Karol G, Quevedo",267
501,66,26,Lady Gaga,268
502,63,8,Lady Gaga,268
503,118,34,"Ozuna, Shakira",269
504,20,1,Leo Santana,270
505,12,2,Treyce,271
506,94,21,"Post Malone, Doja Cat",272
507,6,1,"MC Xenon, Os Gemeos da Putaria",273
508,122,88,"Imagine Dragons, League of Legends, JID, Arcane",274
509,7,0,XXXTENTACION,275
510,11,10,XXXTENTACION,275
511,26,69,"Israel & Rodolffo, Ana Castela",276
512,177,109,"J Balvin, Bad Bunny",277
513,19,59,"Yuridia, Angela Aguilar",278
