,Artista,in_spotify_playlists,in_spotify_charts,id_artista
182,The Weeknd,811,0,41
183,The Weeknd,1014,0,41
184,The Weeknd,1184,0,41
185,The Weeknd,733,0,41
186,The Weeknd,715,0,41
187,The Weeknd,768,0,41
188,The Weeknd,6392,0,41
189,"The Weeknd, Daft Punk",29536,79,42
190,"Ariana Grande, The Weeknd",3408,47,43
191,"Ariana Grande, The Weeknd",9161,5,43
192,"Feid, Myke Towers, Sky Rompiendo",1298,38,44
193,"David Guetta, Anne-Marie, Coi Leray",4277,66,45
194,Karol G,1133,39,46
195,Karol G,525,41,46
196,Karol G,1020,35,46
197,Karol G,6587,34,46
198,Peggy Gou,2259,59,47
199,Tom Odell,18371,83,48
200,Kali Uchis,2649,42,49
201,Manuel Turizo,6804,45,50
202,"dennis, MC Kevin o Chris",731,15,51
203,"PinkPantheress, Ice Spice",5184,41,52
204,"Charlie Puth, BTS, Jung Kook",3107,39,53
205,"Ozuna, Feid",4637,38,55
206,Chris Molitor,31358,43,56
207,Libianca,3506,56,57
208,Post Malone,410,36,58
209,Post Malone,2528,39,58
210,Post Malone,19664,16,58
211,"Rauw Alejandro, Bizarrap",1004,35,59
212,"Rauw Alejandro, Bizarrap",871,32,59
213,Glass Animals,22543,63,60
214,JVKE,4511,36,61
215,JVKE,2005,0,61
216,The Neighbourhood,16413,61,62
217,The Neighbourhood,3947,12,62
218,The Neighbourhood,9771,4,62
219,"Bizarrap, Quevedo",8506,45,63
220,Coldplay,33898,62,64
221,Coldplay,30992,6,64
222,Coldplay,10826,4,64
223,d4vd,3246,23,65
224,d4vd,2335,23,65
225,"Sam Smith, Kim Petras",8576,42,66
226,"Yandel, Feid",3618,38,67
227,"Yandel, Feid",308,0,67
228,Maria Becerra,370,20,68
229,Vance Joy,31123,55,69
230,"Em Beihold, Stephen Sanchez",2790,30,70
231,"Mc Livinho, DJ Matt D",267,9,71
232,"Justin Bieber, The Kid Laroi",17050,36,72
233,"Marshmello, Manuel Turizo",2114,44,73
234,Lewis Capaldi,17836,53,74
235,Lewis Capaldi,8327,24,74
236,Lewis Capaldi,2520,4,74
237,"Chencho Corleone, Bad Bunny",8870,43,75
238,Jain,6060,53,76
239,"Ayparia, unxbected",641,50,77
240,Luke Combs,1446,12,78
241,Doechii,804,25,79
242,"Bad Bunny, Eladio Carrion",1962,38,80
243,Jung Kook,31,39,81
244,Jung Kook,590,5,81
245,"J. Cole, Lil Durk",2175,23,82
246,Lana Del Rey,2000,46,83
247,Lana Del Rey,20333,52,83
248,Lana Del Rey,9389,46,83
249,BTS,674,47,84
250,BTS,4779,6,84
251,BTS,8528,5,84
252,BTS,1801,2,84
253,BTS,829,0,84
254,BTS,736,0,84
255,BTS,327,0,84
256,BTS,279,0,84
257,"Future, Metro Boomin, Don Toliver",2110,58,85
258,Eminem,12985,61,86
259,Eminem,21081,43,86
260,Eminem,20763,27,86
261,Eminem,32502,21,86
262,Carin Leon,266,27,87
263,"Dua Lipa, Elton John, Pnau",21097,52,88
264,Ruth B.,3423,21,89
265,Imagine Dragons,4198,44,90
266,Imagine Dragons,18986,23,90
267,Imagine Dragons,26694,13,90
268,Adele,14739,43,91
269,Adele,10195,20,91
270,Adele,4431,0,91
271,Adele,35684,6,91
272,"Kendrick Lamar, Jay Rock",26792,32,92
273,Anggi Marito,213,6,93
274,Tears For Fears,41751,25,95
275,J. Cole,21164,36,96
276,Loreen,2988,59,97
277,"Taiu, Milo j",893,38,98
278,"Calvin Harris, Ellie Goulding",5120,48,100
279,Sabrina Carpenter,2346,27,101
280,"Carin Leon, Grupo Frontera",763,26,102
281,Peso Pluma,457,24,103
282,Peso Pluma,324,14,103
283,Feid,3430,38,104
284,Feid,2321,36,104
285,Feid,2461,36,104
286,Feid,1235,9,104
287,Feid,1379,4,104
288,Feid,1647,30,104
289,Feid,1473,12,104
290,Feid,330,0,104
291,"Ray Dalton, Ryan Lewis, Macklemore",6074,52,105
292,"Billie Eilish, Khalid",15032,30,106
293,(G)I-DLE,451,33,107
294,(G)I-DLE,430,6,107
295,"Shakira, Bizarrap",5724,44,108
296,"Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",1051,16,109
297,"Travis Scott, Young Thug, Metro Boomin",1682,46,110
298,"Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",182,8,111
299,Ed Sheeran,16596,13,112
300,Ed Sheeran,32181,10,112
301,Ed Sheeran,2915,30,112
302,Ed Sheeran,715,0,112
303,Ed Sheeran,10147,30,112
304,Ed Sheeran,12755,8,112
305,Ed Sheeran,33032,0,112
306,Ed Sheeran,18778,3,112
307,Ed Sheeran,1639,0,112
308,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",283,7,113
309,"Mc Pedrinho, DJ 900",293,8,114
310,"Sog, Ryan Castro, Peso Pluma",437,31,115
311,"The Weeknd, Lana Del Rey",1275,32,116
312,Keane,20015,16,118
313,New West,1507,14,119
314,Chino Pacas,539,21,120
315,Natanael Cano,86,8,121
316,"Don Omar, Lucenzo",17138,37,122
317,"Ana Castela, AgroPlay",894,9,123
318,Bruno Mars,1622,9,124
319,Bruno Mars,2420,11,124
320,Bruno Mars,21106,13,124
321,Bruno Mars,7109,2,124
322,"Big One, FMK, Ke personajes",561,14,125
323,"Drake, 21 Savage",5871,27,126
324,"Drake, 21 Savage",4657,18,126
325,"Drake, 21 Savage",1545,0,126
326,"Drake, 21 Savage",1338,0,126
327,"Drake, 21 Savage",1794,0,126
328,"Drake, 21 Savage",1652,2,126
329,"Drake, 21 Savage",1007,0,126
330,"Drake, 21 Savage",1060,0,126
331,Justin Bieber,5866,24,127
332,Justin Bieber,9577,0,127
333,Justin Bieber,22730,5,127
334,Chris Brown,3859,26,128
335,"Natanael Cano, Peso Pluma",961,26,129
336,Daddy Yankee,6457,18,130
337,Daddy Yankee,1264,0,130
338,"Drake, WizKid, Kyla",43257,24,131
339,Miguel,13801,19,132
340,The Police,22439,19,133
341,Lord Huron,18515,35,134
342,"Rihanna, Calvin Harris",36843,21,135
343,Alec Benjamin,5897,19,136
344,"A$AP Rocky, Metro Boomin, Roisee",727,16,137
345,YOASOBI,356,16,138
346,Rosa Linn,3202,18,139
347,Rosa Linn,1818,0,139
348,One Direction,7124,18,140
349,"Oscar Maydon, Junior H",592,14,141
350,Radiohead,36724,7,142
351,James Arthur,794,10,143
352,James Arthur,15722,16,143
353,Cigarettes After Sex,13091,17,144
354,Shubh,67,8,145
355,Frank Ocean,21574,30,146
356,Frank Ocean,29499,11,146
357,Hozier,23804,31,147
358,"Fuerza Regida, Grupo Frontera",849,22,148
359,Hotel Ugly,1788,14,149
360,Hotel Ugly,713,7,149
361,Creedence Clearwater Revival,15890,14,150
362,Plan B,492,36,151
363,"Feid, Mora, Saiko, Quevedo",773,33,152
364,a-ha,44927,17,153
365,"Swae Lee, Lil Wayne, Offset, Metro Boomin",551,4,154
366,"Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",577,14,155
367,Shakira,955,29,156
368,"Natanael Cano, Gabito Ballesteros, Peso Pluma",995,19,157
369,"Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",178,6,158
370,Stray Kids,290,19,159
371,Stray Kids,651,0,159
372,"Becky G, Peso Pluma",681,10,160
373,"Metro Boomin, Coi Leray",332,5,161
374,"Kaliii, Kaliii",1197,13,162
375,"Abhijay Sharma, Riar Saab",161,6,164
376,JISOO,839,18,166
