,Artista,in_spotify_playlists,in_spotify_charts,id_artista
706,Polo G,4731,0,459
707,"Eminem, Nate Dogg",22923,0,460
708,Maroon 5,9974,2,461
709,"Gunna, Lil Baby",620,0,463
710,"Katy Perry, Alesso",3270,0,464
711,"Tini, Maria Becerra",3406,16,466
712,"Anuel Aa, Myke Towers, Jhay Cortez",903,0,467
713,"Karol G, Becky G",6809,28,468
714,"Dr. Dre, Snoop Dogg",33966,0,469
715,"Dr. Dre, Snoop Dogg",31762,0,469
716,Dove Cameron,3766,0,470
717,"Ed Sheeran, Taylor Swift",1430,0,471
718,Charlie Puth,4049,0,472
719,Charlie Puth,686,2,472
720,"Kanye West, Alicia Keys, Fivio Foreign",2096,0,473
721,"Mahmood, Blanco",1175,0,474
722,50 Cent,30427,7,475
723,Yung Lean,4310,0,476
724,"Labrinth, Zendaya",5342,0,477
725,The Rare Occasions,2393,0,478
726,"Intense, AP Dhillon, Gurinder Gill",272,4,479
727,"Dr. Dre, 2Pac, Roger",18773,0,481
728,"Eminem, Dr. Dre",19067,0,482
729,"Eminem, Dr. Dre",1040,0,482
730,"Luude, Colin Hay",3541,2,483
731,Ryan Castro,1492,0,484
732,Ryan Castro,2844,2,484
733,Kendrick Lamar,33206,1,485
734,Kendrick Lamar,5542,0,485
735,Kendrick Lamar,2575,0,485
736,Kendrick Lamar,3486,0,485
737,Kendrick Lamar,2729,0,485
738,Kendrick Lamar,1480,0,485
739,Kendrick Lamar,1103,0,485
740,Kendrick Lamar,1493,0,485
741,Kendrick Lamar,1545,0,485
742,Kendrick Lamar,1929,0,485
743,Kendrick Lamar,1194,0,485
744,Kendrick Lamar,2939,0,485
745,"Eminem, Dido",17115,0,486
746,"GODZZ__-, Zakaria",6955,0,487
747,Chase Atlantic,2742,0,488
748,Em Beihold,2026,0,489
749,"Mainstreet, Chefin",352,0,490
750,"Alvaro Diaz, Rauw Alejandro",1517,0,491
751,"Nicki Minaj, Lil Baby",847,0,492
752,"Nicki Minaj, Lil Baby",1064,0,492
753,Future,910,0,493
754,Future,2350,0,493
755,Muni Long,1800,0,495
756,Vundabar,1930,0,496
757,V,509,9,497
758,"Shawn Mendes, Camila Cabello",15010,2,499
759,"Daddy Yankee, Bad Bunny",4890,20,500
760,"Daddy Yankee, Bad Bunny",2697,1,500
761,"Dua Lipa, Megan Thee Stallion",3501,0,501
762,"Camila Cabello, Ed Sheeran",6111,4,502
763,Cris Mj,5415,32,503
764,Anitta,4673,2,504
765,Dave,1856,3,505
766,Tulus,200,2,506
767,"Mc Pedrinho, Pedro Sampaio",911,2,507
768,Zion & Lennox,2954,2,508
769,"Residente, Bizarrap",461,0,509
770,Jack Harlow,2939,0,510
771,Jack Harlow,8737,0,510
772,Jack Harlow,1992,0,510
773,Treasure,328,0,512
774,Christian Nodal,866,16,513
775,"Kevin Gates, Juicy J",1550,0,514
776,"Tyga, Doja Cat",1729,0,515
777,Queen,40112,3,516
778,YEAT,1473,0,517
779,YEAT,920,0,517
780,C. Tangana,2226,0,518
781,"The Chainsmokers, Coldplay",23375,21,519
782,"The Chainsmokers, Halsey",28032,0,520
783,NMIXX,290,0,521
784,"Gotye, Kimbra",42798,0,522
785,"AnnenMayKantereit, Giant Rooks",2605,0,523
786,Paulo Londra,1105,0,524
787,Paulo Londra,225,0,524
788,Danny Ocean,2499,21,525
789,Lil Tjay,1185,0,526
790,Willow,11985,0,527
791,"Feid, Alejo, Robi",2995,0,528
792,Demi Lovato,9243,0,529
793,"Camila Cabello, Willow",918,0,530
794,"De La Ghetto, Duki, Quevedo",859,0,532
795,Lil Baby,1116,0,533
796,Lil Baby,991,0,533
797,"Ak4:20, Cris Mj, Pailita",273,2,534
798,Yahritza Y Su Esencia,226,0,535
799,"Ed Sheeran, J Balvin",1370,0,537
800,teto,315,2,538
801,"Blackbear, BoyWithUke",625,0,539
802,"Pharrell Williams, Nile Rodgers, Daft Punk",52898,0,540
803,BIGBANG,181,0,541
804,"Kendrick Lamar, Blxst, Amanda Reifer",4627,0,542
805,"Kendrick Lamar, Sampha",3107,0,543
806,"Post Malone, Roddy Ricch",2942,0,544
807,"Kendrick Lamar, Kodak Black",3028,0,545
808,"Tony Dize, Bad Bunny",1796,8,546
809,"Buscabulla, Bad Bunny",1195,0,547
810,"Kendrick Lamar, Taylour Paige",1635,0,548
811,"Kendrick Lamar, Sam Dew, Baby Keem",2291,0,549
812,"Kendrick Lamar, Ghostface Killah, Summer Walker",2308,0,551
813,"Polima WestCoast, Pailita",1367,0,552
814,"Bad Bunny, Tainy",9539,15,553
815,Panic! At The Disco,2948,0,554
816,"Kendrick Lamar, Tanna Leone",1860,0,555
817,"PSY, Suga",802,0,556
818,Benson Boone,2224,8,557
819,KALUSH,555,0,558
820,Luciano,710,4,559
821,"Bizarrap, Paulo Londra",928,0,560
822,"Shae Gill, Ali Sethi",349,6,561
823,"Kendrick Lamar, Beth Gibbons",1890,0,562
824,"Sech, Mora",1308,2,563
825,"MNEK, Jax Jones",4531,0,564
826,"Ugly Dray, Tesla Jnr",1657,0,565
827,"Justin Bieber, Don Toliver",1351,0,566
828,Jessi,608,0,567
829,Chanel,1211,0,568
830,Leah Kate,1301,0,569
831,Sam Ryder,1329,0,570
832,"HA SUNG WOON, Jimin",343,2,571
833,The Goo Goo Dolls,13101,9,572
834,Kevin Kaarl,407,1,573
835,Suki Waterhouse,2264,0,574
836,Lauren Spencer Smith,801,0,575
837,"Pharrell Williams, Tyler, The Creator, 21 Savage",2313,0,576
838,"Calvin Harris, Dua Lipa, Young Thug",3983,0,577
839,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",3559,3,578
840,"Kanye West, XXXTENTACION",2129,0,579
841,Musical Youth,5328,0,580
842,"Bizarrap, Villano Antillano",1401,0,581
843,Halsey,1057,0,582
844,"BYOR, Imanbek",5115,13,583
845,"Sleepy hallow, 347aidan",896,0,584
846,Paloma Faith,5148,0,585
847,"Marshmello, Khalid",3879,2,586
848,"Ozuna, Tiago pzk",896,0,587
849,Childish Gambino,8775,0,588
850,"David Guetta, Ella Henderson, Becky Hill",5290,0,589
851,Duki,584,8,590
852,Duki,625,4,590
853,Sidhu Moose Wala,246,4,591
854,Keisya Levronka,220,4,592
855,Victor Cibrian,514,0,593
856,Metallica,6080,0,594
857,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",2341,0,595
858,Yung Gravy,2402,0,596
859,Lasso,795,11,597
860,Nayeon,571,0,598
861,j-hope,565,0,600
862,Burna Boy,4526,12,601
863,Burna Boy,782,2,601
864,"Kanye West, Lil Durk, Cardi B",1601,0,602
865,"L7nnon, DJ Biel do Furduncinho, Bianca",894,4,603
866,"Anitta, Tini, Becky G",945,0,604
867,Nessa Barrett,767,0,605
868,LF System,5898,5,606
869,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",685,2,607
870,Rels B,1452,35,608
871,"Snoop Dogg, BTS, Benny Blanco",1456,0,609
872,"Drake, DJ Khaled, Lil Baby",2107,0,610
873,Luar La L,1494,2,611
874,Ghost,2668,2,612
875,Rex Orange County,1189,6,613
876,Sofia Carson,367,0,614
877,"Grupo Marca Registrada, Junior H",527,4,615
878,"Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",3113,0,616
879,"Peso Pluma, Luis R Conriquez",685,5,617
880,"Luis R Conriquez, La Adictiva",782,9,618
881,"David Guetta, Shakira, Black Eyed Peas",2442,0,619
882,"Melody, Ana Castela, Dj Chris No Beat",1112,4,620
883,"Elton John, Britney Spears",4967,0,621
884,"Interplanetary Criminal, Eliza Rose",5153,6,622
885,Armani White,2537,0,623
886,Oxlade,2019,8,624
887,PnB Rock,2468,0,625
888,"Ovy On The Drums, Quevedo",1097,2,626
889,Lil Yachty,1584,0,627
890,"Marshmello, Juice WRLD",766,0,628
891,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",836,0,629
892,Southstar,2020,0,630
893,girl in red,6858,0,631
894,"Rosa Walton, Hallie Coggins",668,1,632
895,"MC Ryan SP, Love Funk, Mc Paiva ZS",648,4,634
896,"Drake, Travis Scott, 21 Savage",1930,0,635
897,"Ludwig Goransson, Foudeqush",486,0,636
898,Jin,481,9,637
899,Selena Gomez,953,0,638
900,"Feid, Paulo Londra",573,0,639
901,"Feid, Sech, Jhayco",1320,0,640
