rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
110,Total Gaming,35400000,5556364230.0,Gaming,totalgaming,1,,,Autos,4056447.0,,3902.0,53.0,0.01,0.21,0.16,3.0,2.0,2006.0,Jul,15.0,,,,,,
703,Bayashi TV,14900000,8615618825.0,Entertainment,ýýýýýýýýýýýýýýýýýýBAYASHITV,93,Japan,JP,Autos,3468229.0,3508.0,3271.0,2477.0,0.62,10.0,7.0,119.0,9.0,2012.0,Nov,19.0,63.2,126226568.0,2.29,115782416.0,36.204824,138.252924
787,Supercar Blondie,14100000,5405563355.0,Autos & Vehicles,Supercar Blondie,855,United Arab Emirates,AE,Autos,1202.0,7.0,1.0,353259000.0,88300.0,1400000.0,1100000.0,17000000.0,500000.0,2007.0,Sep,12.0,36.8,9770529.0,2.35,8479744.0,23.424076,53.847818
