rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
85,TEDx Talks,38600000,7339333120.0,Nonprofits & Activism,TEDx Talks,200933,United States,US,Nonprofit,768.0,25.0,1.0,45638000.0,11400.0,182600.0,136900.0,2200000.0,100000.0,2009.0,Jun,23.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
543,Bispo Bruno Leonardo,16900000,3523578665.0,Nonprofits & Activism,Bispo Bruno Leonardo,4891,Brazil,BR,Nonprofit,2307.0,29.0,2.0,149543000.0,37400.0,598200.0,448600.0,7200000.0,400000.0,2016.0,Apr,10.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
