Artista,in_deezer_playlists,in_deezer_charts
Kanye West,1315,0
Calvin Harris  Halsey  Pharrell Williams  Justin Timberlake,124,1
Peso Pluma  Luis R Conriquez,4,2
Luis R Conriquez  La Adictiva,6,1
David Guetta  Shakira  Black Eyed Peas,248,1
Melody  Ana Castela  Dj Chris No Beat,65,1
Elton John  Britney Spears,177,4
Lewis Capaldi,84,9
IVE,11,0
Kanye West,274,0
Interplanetary Criminal  Eliza Rose,113,12
TWICE,15,1
Armani White,67,11
Feid,23,2
Oxlade,107,1
Feid,25,1
Steve Lacy,13,0
Coldplay,7827,1
Coldplay,805,0
YEAT,8,0
Yandel  Feid,6,0
PnB Rock,0,0
Ovy On The Drums  Quevedo,13,1
Feid,2,0
Lil Yachty,24,0
Mï¿½ï¿½ne,328,1
Marshmello  Juice WRLD,9,0
Fran C  Polima WestCoast  Nickoog Clk  Pablito Pesadilla,13,0
(G)I-DLE,9,0
Southstar,119,0
girl in red,15,0
Lizzo,158,2
Ed Sheeran,80,0
BLACKPINK,13,0
Rosa Walton  Hallie Coggins,31,0
Lil Baby,13,0
Luciano  Aitch  Bï¿½,12,2
MC Ryan SP  Love Funk  Mc Paiva ZS,30,0
Drake  21 Savage,15,0
Drake  Travis Scott  21 Savage,17,0
Taylor Swift,16,0
Taylor Swift,12,0
Drake  21 Savage,7,0
Taylor Swift,13,0
Drake  21 Savage,17,0
Taylor Swift,15,0
Drake  21 Savage,10,0
Taylor Swift,13,0
Taylor Swift,8,0
Ludwig Goransson  Foudeqush,7,0
Drake  21 Savage,3,0
Jin,15,1
Drake,2,0
Drake  21 Savage,5,0
Taylor Swift,11,0
Selena Gomez,37,1
Taylor Swift,8,0
Feid  Paulo Londra,7,0
Feid  Sech  Jhayco,17,0
Burna Boy,32,1
