Artista,in_spotify_playlists,in_spotify_charts
BTS,279,0
Harry Styles,2302,0
"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",3559,3
"Kanye West, XXXTENTACION",2129,0
Harry Styles,3291,5
Musical Youth,5328,0
"Bizarrap, Villano Antillano",1401,0
Harry Styles,1933,0
Harry Styles,1986,0
Halsey,1057,0
"BYOR, Imanbek",5115,13
Harry Styles,2094,1
Harry Styles,2171,0
"Sleepy hallow, 347aidan",896,0
Paloma Faith,5148,0
Lady Gaga,2528,0
Harry Styles,1900,1
"Marshmello, Khalid",3879,2
"Ozuna, Tiago pzk",896,0
Childish Gambino,8775,0
"David Guetta, Ella Henderson, Becky Hill",5290,0
Joji,10211,0
Duki,584,8
Harry Styles,1517,0
Sidhu Moose Wala,246,4
Keisya Levronka,220,4
Victor Cibrian,514,0
Metallica,6080,0
Beyoncï¿,9724,0
"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",2341,0
Drake,5263,0
Yung Gravy,2402,0
Lasso,795,11
Nayeon,571,0
"Schï¿½ï¿½rze, DJ R",832,3
j-hope,565,0
Guns N' Roses,41231,1
Burna Boy,4526,12
Rosa Linn,1818,0
Drake,2814,0
"Kanye West, Lil Durk, Cardi B",1601,0
"L7nnon, DJ Biel do Furduncinho, Bianca",894,4
"Anitta, Tini, Becky G",945,0
Nessa Barrett,767,0
LF System,5898,5
"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",685,2
Rels B,1452,35
"Snoop Dogg, BTS, Benny Blanco",1456,0
"Drake, DJ Khaled, Lil Baby",2107,0
Luar La L,1494,2
Feid,1379,4
Duki,625,4
Beyoncï¿,2688,0
Ghost,2668,2
NewJeans,799,12
Rex Orange County,1189,6
Sofia Carson,367,0
"Grupo Marca Registrada, Junior H",527,4
Kanye West,17504,34
"Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",3113,0
"Peso Pluma, Luis R Conriquez",685,5
"Luis R Conriquez, La Adictiva",782,9
"David Guetta, Shakira, Black Eyed Peas",2442,0
"Melody, Ana Castela, Dj Chris No Beat",1112,4
"Elton John, Britney Spears",4967,0
Lewis Capaldi,2520,4
IVE,767,12
Kanye West,19806,7
"Interplanetary Criminal, Eliza Rose",5153,6
TWICE,615,0
Armani White,2537,0
Feid,1647,30
Oxlade,2019,8
Feid,1473,12
Steve Lacy,1613,0
Coldplay,30992,6
Coldplay,10826,4
YEAT,920,0
"Yandel, Feid",308,0
PnB Rock,2468,0
"Ovy On The Drums, Quevedo",1097,2
Feid,330,0
Lil Yachty,1584,0
Mï¿½ï¿½ne,1585,5
"Marshmello, Juice WRLD",766,0
"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",836,0
(G)I-DLE,430,6
Southstar,2020,0
girl in red,6858,0
Lizzo,3682,6
Ed Sheeran,1639,0
BLACKPINK,452,10
"Rosa Walton, Hallie Coggins",668,1
Lil Baby,991,0
"Luciano, Aitch, Bï¿½",869,7
"MC Ryan SP, Love Funk, Mc Paiva ZS",648,4
"Drake, 21 Savage",1545,0
"Drake, Travis Scott, 21 Savage",1930,0
Taylor Swift,1948,0
Taylor Swift,1608,0
"Drake, 21 Savage",1338,0
Taylor Swift,1936,0
"Drake, 21 Savage",1794,0
Taylor Swift,1597,0
"Drake, 21 Savage",1652,2
Taylor Swift,1747,0
Taylor Swift,1715,0
"Ludwig Goransson, Foudeqush",486,0
"Drake, 21 Savage",1007,0
Jin,481,9
Drake,1045,0
"Drake, 21 Savage",1060,0
Taylor Swift,1274,0
Selena Gomez,953,0
Taylor Swift,1180,0
"Feid, Paulo Londra",573,0
"Feid, Sech, Jhayco",1320,0
Burna Boy,782,2
