Artista,in_spotify_playlists,in_spotify_charts
Creedence Clearwater Revival,15890,14
Plan B,492,36
"Feid, Mora, Saiko, Quevedo",773,33
NewJeans,1154,22
a-ha,44927,17
"Swae Lee, Lil Wayne, Offset, Metro Boomin",551,4
"Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",577,14
Shakira,955,29
"Natanael Cano, Gabito Ballesteros, Peso Pluma",995,19
"Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",178,6
Stray Kids,290,19
Taylor Swift,547,0
"Becky G, Peso Pluma",681,10
"Metro Boomin, Coi Leray",332,5
"Kaliii, Kaliii",1197,13
"Junior H, Eden Muï¿½ï",262,5
"Abhijay Sharma, Riar Saab",161,6
"Semicenk, Doï¿½ï¿½u ",185,3
JISOO,839,18
"Future, Lil Uzi Vert, Metro Boomin",259,0
Ed Sheeran,2915,30
"RAYE, 070 Shake",5129,25
"Arcangel, Bad Bunny",3794,34
"Taylor Swift, Ice Spice",588,0
"Future, Chris Brown, Metro Boomin",2959,16
"BLESSD, Peso Pluma",291,8
Feid,2321,36
"Fuerza Regida, Natanael Cano",536,10
"Lana Del Rey, Taylor Swift",359,2
Coi Leray,4096,6
ENHYPEN,349,69
"Lil Durk, Morgan Wallen",381,5
Feid,2461,36
"James Blake, Metro Boomin",277,1
"Israel & Rodolffo, Mari Fernandez",967,5
Steve Lacy,8186,12
Beyoncï¿,7842,10
"Halsey, Suga",215,6
"Nicky Jam, Feid",1134,22
"Sean Paul, Feid",1305,34
Drake,2066,6
"Kendrick Lamar, Beyoncï¿",896,0
Taylor Swift,3763,8
"WizKid, Toian, Metro Boomin, Don Toliver, Beam",197,0
Bad Bunny,4004,33
Simone Mendes,984,5
Tini,1240,24
Lil Uzi Vert,3995,13
Sia,7681,13
Stephen Sanchez,4427,4
"Drake, 21 Savage",4657,18
Adele,10195,20
"MC Caverinha, KayBlack",269,4
"Offset, JID",214,0
Zï¿½ï¿½ Neto & Crist,845,2
Eminem,20763,27
"Migrantes, LiL CaKe, Nico Valdi",1267,20
Tory Lanez,2585,32
Joji,6330,6
"Mambo Kingz, DJ Luian, Anuel Aa",675,1
Ed Sheeran,715,0
"Nile Rodgers, LE SSERAFIM",327,13
Agust D,244,12
"Rich The Kid, Matuï¿",385,4
Karol G,1020,35
Labrinth,1730,3
"Karol G, Romeo Santos",2127,33
Lizzy McAlpine,3242,9
Fifty Fifty,526,10
IVE,366,15
sped up 8282,472,2
"Cartel De Santa, La Kelly",432,12
SEVENTEEN,271,12
NLE Choppa,816,4
"The Weeknd, Future",1169,0
Taylor Swift,1282,6
Karol G,6587,34
"Nicki Minaj, Ice Spice",1444,4
"Grupo Marca Registrada, Grupo Frontera",356,10
Ed Sheeran,10147,30
"Fuerza Regida, Peso Pluma",265,6
"TAEYANG, Lisa",351,9
Raim Laode,158,4
ROSALï¿½,7613,33
Meghan Trainor,3956,6
"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",1638,10
Grupo Frontera,924,18
Quevedo,1985,35
TV Girl,6339,13
INTERWORLD,1561,24
"Quevedo, Jhayco",875,4
"El Chachito, Junior H",406,5
Jimin,340,13
"The Weeknd, Gesaffelstein",4188,15
"RM, Colde",105,0
BLACKPINK,1524,17
"Nengo Flow, Bad Bunny",2651,30
The Weeknd,11087,6
Jimin,373,19
"Jasiel Nuï¿½ï¿½ez, Peso P",200,4
